"NOMPROV","PROV","NOMDEPTO","DEPTO","FRAC","RADIO","TIPO","LINK","OBS2020","link_chr","codigo","indice_envejecimiento","pct_pob_65_mas","pct_pob_80_mas","tasa_actividad","tasa_empleo","pct_sin_agua_red","pct_desague_sin_red"
"NEUQUEN","58","Confluencia","035","35","01","U","580353501",NA,"580353501",580353501,31.25,8.62,2.01,63.64,59.68,83.7,97.5
"NEUQUEN","58","Confluencia","035","35","07","U","580353507",NA,"580353507",580353507,15.79,4.96,0.5,77.25,71.33,18.9,85.6
"NEUQUEN","58","Confluencia","035","35","02","U","580353502",NA,"580353502",580353502,5.36,1.95,0.22,76.16,70.53,8.7,85.8
"NEUQUEN","58","Confluencia","035","16","08","M","580351608",NA,"580351608",580351608,16.47,4.62,0,70.27,66.22,17.9,92.4
"NEUQUEN","58","Confluencia","035","35","03","U","580353503",NA,"580353503",580353503,8.76,2.8,0.38,71.87,67.88,4.1,50.2
"NEUQUEN","58","Confluencia","035","35","06","U","580353506",NA,"580353506",580353506,7.16,2.26,0.53,65.39,60.38,4,43.8
"NEUQUEN","58","Confluencia","035","35","04","U","580353504",NA,"580353504",580353504,16.78,4.27,0.53,66.82,60.73,3.9,5.4
"NEUQUEN","58","Confluencia","035","25","01","U","580352501",NA,"580352501",580352501,10.61,1.99,0.43,66.38,59.52,4.2,16.2
"NEUQUEN","58","Confluencia","035","25","02","U","580352502",NA,"580352502",580352502,24.3,5.04,0.39,68.36,63.04,2.4,11.9
"NEUQUEN","58","Confluencia","035","35","05","U","580353505",NA,"580353505",580353505,16.67,4.48,1.15,67.81,60.94,1.1,24.2
"NEUQUEN","58","Confluencia","035","25","18","U","580352518",NA,"580352518",580352518,24.32,5.4,1.05,66.04,62.26,2.7,19.1
"NEUQUEN","58","Confluencia","035","25","19","U","580352519",NA,"580352519",580352519,40.32,7.7,1.08,69.29,65.36,4.9,9
"NEUQUEN","58","Confluencia","035","25","11","U","580352511",NA,"580352511",580352511,28.07,5.38,1.23,64.21,60.25,3.8,5.2
"NEUQUEN","58","Confluencia","035","25","03","U","580352503",NA,"580352503",580352503,13.97,3.35,0.54,66.9,60.89,3.1,12.9
"NEUQUEN","58","Confluencia","035","25","12","U","580352512",NA,"580352512",580352512,20.21,5.22,0.71,67.33,61.49,0,7.7
"NEUQUEN","58","Confluencia","035","35","08","U","580353508",NA,"580353508",580353508,5.73,2.07,0.46,71.3,67.48,4.7,92
"NEUQUEN","58","Confluencia","035","25","04","U","580352504",NA,"580352504",580352504,93.46,11.81,2.13,65,60,2.2,5.1
